Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
4,500000,MergeSort,101,8837316,true
4,500000,HybridMergeSort,86,8864013,true
4,1000000,MergeSort,201,18673739,true
4,1000000,HybridMergeSort,156,18727762,true
4,1500000,MergeSort,306,28911095,true
4,1500000,HybridMergeSort,258,28951180,true
4,2000000,MergeSort,413,39349766,true
4,2000000,HybridMergeSort,364,39455533,true
4,2500000,MergeSort,532,50023623,true
4,2500000,HybridMergeSort,442,50275238,true
4,5000000,MergeSort,1065,105050291,true
4,5000000,HybridMergeSort,978,105553981,true
4,7500000,MergeSort,1736,161908381,true
4,7500000,HybridMergeSort,1551,162207200,true
4,10000000,MergeSort,2242,220102120,true
4,10000000,HybridMergeSort,1958,221107501,true
5,1000,MergeSort,0,8685,true
5,1000,HybridMergeSort,0,8752,true
5,2000,MergeSort,1,19419,true
5,2000,HybridMergeSort,0,19524,true
5,3000,MergeSort,0,30918,true
5,3000,HybridMergeSort,1,31492,true
5,4000,MergeSort,0,42856,true
5,4000,HybridMergeSort,1,43043,true
5,5000,MergeSort,1,55256,true
5,5000,HybridMergeSort,0,55748,true
5,10000,MergeSort,2,120567,true
5,10000,HybridMergeSort,1,121416,true
5,20000,MergeSort,4,260845,true
5,20000,HybridMergeSort,2,262964,true
5,30000,MergeSort,5,408519,true
5,30000,HybridMergeSort,4,409919,true
5,40000,MergeSort,8,561663,true
5,40000,HybridMergeSort,5,566154,true
5,50000,MergeSort,9,718148,true
5,50000,HybridMergeSort,7,727716,true
5,100000,MergeSort,20,1536159,true
5,100000,HybridMergeSort,15,1554750,true
5,500000,MergeSort,92,8837381,true
5,500000,HybridMergeSort,83,8863907,true
5,1000000,MergeSort,191,18675346,true
5,1000000,HybridMergeSort,175,18728255,true
5,1500000,MergeSort,292,28910402,true
5,1500000,HybridMergeSort,254,29181727,true
5,2000000,MergeSort,404,39347361,true
5,2000000,HybridMergeSort,336,39454773,true
5,2500000,MergeSort,502,50025001,true
5,2500000,HybridMergeSort,489,50276685,true
5,5000000,MergeSort,1140,105051261,true
5,5000000,HybridMergeSort,916,105553222,true
5,7500000,MergeSort,1634,161906722,true
5,7500000,HybridMergeSort,1530,162205301,true
5,10000000,MergeSort,2223,220101007,true
5,10000000,HybridMergeSort,1865,221107011,true
6,1000,MergeSort,0,8686,true
6,1000,HybridMergeSort,0,8796,true
6,2000,MergeSort,0,19416,true
6,2000,HybridMergeSort,1,19603,true
6,3000,MergeSort,0,30970,true
6,3000,HybridMergeSort,0,31442,true
6,4000,MergeSort,1,42833,true
6,4000,HybridMergeSort,0,43159,true
6,5000,MergeSort,1,55214,true
6,5000,HybridMergeSort,1,55699,true
6,10000,MergeSort,1,120378,true
6,10000,HybridMergeSort,1,121563,true
6,20000,MergeSort,2,260967,true
6,20000,HybridMergeSort,3,263163,true
6,30000,MergeSort,5,408604,true
6,30000,HybridMergeSort,4,415474,true
6,40000,MergeSort,6,561887,true
6,40000,HybridMergeSort,5,565985,true
6,50000,MergeSort,8,718040,true
6,50000,HybridMergeSort,6,728793,true
6,100000,MergeSort,16,1536409,true
6,100000,HybridMergeSort,13,1557333,true
6,500000,MergeSort,92,8838138,true
6,500000,HybridMergeSort,77,8912381,true
6,1000000,MergeSort,192,18673443,true
6,1000000,HybridMergeSort,162,18821314,true
6,1500000,MergeSort,279,28909404,true
6,1500000,HybridMergeSort,244,29181134,true
6,2000000,MergeSort,388,39346851,true
6,2000000,HybridMergeSort,350,39640286,true
6,2500000,MergeSort,488,50026071,true
6,2500000,HybridMergeSort,425,50276806,true
6,5000000,MergeSort,990,105049646,true
6,5000000,HybridMergeSort,880,105554502,true
6,7500000,MergeSort,1580,161902764,true
6,7500000,HybridMergeSort,1346,163917398,true
6,10000000,MergeSort,2117,220102286,true
6,10000000,HybridMergeSort,1874,221106592,true
7,1000,MergeSort,0,8689,true
7,1000,HybridMergeSort,0,9160,true
7,2000,MergeSort,0,19407,true
7,2000,HybridMergeSort,1,20182,true
7,3000,MergeSort,0,30879,true
7,3000,HybridMergeSort,0,31507,true
7,4000,MergeSort,1,42833,true
7,4000,HybridMergeSort,0,44225,true
7,5000,MergeSort,1,55181,true
7,5000,HybridMergeSort,1,55707,true
7,10000,MergeSort,1,120469,true
7,10000,HybridMergeSort,1,121449,true
7,20000,MergeSort,2,260951,true
7,20000,HybridMergeSort,3,263191,true
7,30000,MergeSort,5,408537,true
7,30000,HybridMergeSort,4,419173,true
7,40000,MergeSort,6,561769,true
7,40000,HybridMergeSort,5,566169,true
7,50000,MergeSort,8,717987,true
7,50000,HybridMergeSort,6,728631,true
7,100000,MergeSort,16,1536040,true
7,100000,HybridMergeSort,14,1558024,true
7,500000,MergeSort,84,8836705,true
7,500000,HybridMergeSort,76,9036076,true
7,1000000,MergeSort,191,18674875,true
7,1000000,HybridMergeSort,159,19073772,true
7,1500000,MergeSort,295,28909556,true
7,1500000,HybridMergeSort,249,29180094,true
7,2000000,MergeSort,400,39349015,true
7,2000000,HybridMergeSort,349,40144210,true
7,2500000,MergeSort,475,50025253,true
7,2500000,HybridMergeSort,429,50277105,true
7,5000000,MergeSort,1040,105051508,true
7,5000000,HybridMergeSort,891,105555778,true
7,7500000,MergeSort,1622,161908742,true
7,7500000,HybridMergeSort,1335,164411444,true
7,10000000,MergeSort,2240,220099527,true
7,10000000,HybridMergeSort,2152,221106421,true
8,1000,MergeSort,0,8734,true
8,1000,HybridMergeSort,0,9129,true
8,2000,MergeSort,1,19375,true
8,2000,HybridMergeSort,0,20378,true
8,3000,MergeSort,0,30948,true
8,3000,HybridMergeSort,1,31486,true
8,4000,MergeSort,1,42813,true
8,4000,HybridMergeSort,0,44497,true
8,5000,MergeSort,1,55218,true
8,5000,HybridMergeSort,1,56303,true
8,10000,MergeSort,2,120512,true
8,10000,HybridMergeSort,1,122356,true
8,20000,MergeSort,4,260939,true
8,20000,HybridMergeSort,2,265136,true
8,30000,MergeSort,5,408557,true
