Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
783,782,70940,3418,0.002554,2452356,9384
443,442,997,119,0.004515,784996,5304
23,22,94,61,0.086957,2116,264
592,591,2534,235,0.003378,1401856,7092
574,573,7222,449,0.003484,1317904,6876
153,152,403,73,0.013072,93636,1824
833,832,1565,170,0.002401,2775556,9984
750,749,16803,909,0.002667,2250000,8988
614,613,1306,156,0.003257,1507984,7356
836,835,10194,589,0.002392,2795584,10020
654,653,1438,163,0.003058,1710864,7836
252,251,1631,175,0.007937,254016,3012
901,900,1943,213,0.002220,3247204,10800
320,319,770,114,0.006250,409600,3828
946,945,2037,218,0.002114,3579664,11340
38,37,121,62,0.052632,5776,444
140,139,323,75,0.014286,78400,1668
560,559,1902,173,0.003571,1254400,6708
371,370,843,105,0.005391,550564,4440
520,519,8870,557,0.003846,1081600,6228
960,959,2101,237,0.002083,3686400,11508
211,210,1135,144,0.009479,178084,2520
845,844,16512,782,0.002367,2856100,10128
393,392,1405,152,0.005089,617796,4704
201,200,2017,278,0.009950,161604,2400
135,134,2407,446,0.014815,72900,1608
497,496,1404,186,0.004024,988036,5952
954,953,27465,1081,0.002096,3640464,11436
103,102,240,61,0.019417,42436,1224
804,803,2496,229,0.002488,2585664,9636
930,929,1899,198,0.002151,3459600,11148
250,249,512,86,0.008000,250000,2988
158,157,356,71,0.012658,99856,1884
434,433,2535,238,0.004608,753424,5196
772,771,25653,1281,0.002591,2383936,9252
675,674,4130,302,0.002963,1822500,8088
186,185,4102,568,0.010753,138384,2220
322,321,1228,145,0.006211,414736,3852
965,964,10561,621,0.002073,3724900,11568
803,802,3142,280,0.002491,2579236,9624
598,597,2266,243,0.003344,1430416,7164
782,781,6861,466,0.002558,2446096,9372
454,453,1684,181,0.004405,824464,5436
407,406,1649,176,0.004914,662596,4872
304,303,2087,249,0.006579,369664,3636
727,726,3933,321,0.002751,2114116,8712
556,555,1356,148,0.003597,1236544,6660
385,384,14851,1197,0.005195,592900,4608
696,695,8045,527,0.002874,1937664,8340
651,650,1291,141,0.003072,1695204,7800
641,640,14804,883,0.003120,1643524,7680
486,485,1125,136,0.004115,944784,5820
801,800,1786,208,0.002497,2566404,9600
652,651,1333,139,0.003067,1700416,7812
466,465,1004,125,0.004292,868624,5580
839,838,4801,357,0.002384,2815684,10056
156,155,1154,171,0.012821,97344,1860
384,383,2145,217,0.005208,589824,4596
767,766,24236,1140,0.002608,2353156,9192
886,885,1787,193,0.002257,3139984,10620
868,867,1653,159,0.002304,3013696,10404
432,431,2004,267,0.004630,746496,5172
97,96,430,106,0.020619,37636,1152
645,644,1611,195,0.003101,1664100,7728
934,933,1760,191,0.002141,3489424,11196
570,569,1771,188,0.003509,1299600,6828
314,313,2349,273,0.006369,394384,3756
294,293,1361,150,0.006803,345744,3516
118,117,266,72,0.016949,55696,1404
286,285,644,97,0.006993,327184,3420
68,67,336,103,0.029412,18496,804
791,790,4759,369,0.002528,2502724,9480
825,824,1745,190,0.002424,2722500,9888
144,143,356,79,0.013889,82944,1716
515,514,7689,632,0.003883,1060900,6168
689,688,19839,1599,0.002903,1898884,8256
706,705,4721,442,0.002833,1993744,8460
645,644,2226,241,0.003101,1664100,7728
409,408,20203,1576,0.004890,669124,4896
299,298,19661,1907,0.006689,357604,3576
509,508,2613,250,0.003929,1036324,6096
307,306,7506,632,0.006515,376996,3672
991,990,2136,254,0.002018,3928324,11880
711,710,1498,167,0.002813,2022084,8520
713,712,4372,327,0.002805,2033476,8544
287,286,1821,181,0.006969,329476,3432
138,137,519,101,0.014493,76176,1644
753,752,1819,215,0.002656,2268036,9024
103,102,253,66,0.019417,42436,1224
674,673,4101,297,0.002967,1817104,8076
300,299,2721,283,0.006667,360000,3588
393,392,875,116,0.005089,617796,4704
782,781,1662,207,0.002558,2446096,9372
142,141,3251,600,0.014085,80656,1692
569,568,1565,195,0.003515,1295044,6816
723,722,1516,154,0.002766,2090916,8664
293,292,1431,162,0.006826,343396,3504
806,805,2763,264,0.002481,2598544,9660
899,898,3943,304,0.002225,3232804,10776
658,657,8815,575,0.003040,1731856,7884
363,362,754,101,0.005510,527076,4344
