Vertices,Edges,Time Array (Method 1),Time Array (Method 2)
765,764,1213,156
770,769,1244,166
124,123,211,58
63,62,559,255
718,717,4865,404
124,123,995,270
65,64,279,106
580,579,967,120
911,910,8291,569
597,596,2454,199
182,181,8399,1540
7,6,107,148
697,696,1244,165
438,437,829,125
3,2,57,65
367,366,1445,157
631,630,1134,154
33,32,199,119
359,358,13137,1373
71,70,170,60
27,26,110,72
357,356,707,120
320,319,788,134
737,736,3656,301
745,744,6390,440
300,299,481,79
268,267,677,118
836,835,1226,140
928,927,1386,182
353,352,3120,283
724,723,4925,351
19,18,164,106
735,734,1690,229
84,83,236,77
152,151,395,88
548,547,907,115
171,170,277,65
407,406,660,103
243,242,1081,141
821,820,1263,162
27,26,149,99
474,473,4603,422
266,265,1033,134
792,791,3158,263
347,346,581,91
533,532,6520,457
888,887,1377,186
310,309,1916,192
158,157,1458,291
469,468,4147,299
900,899,116316,6675
136,135,1029,219
215,214,662,114
673,672,1239,166
691,690,1320,146
449,448,1677,179
439,438,1214,132
421,420,1060,120
619,618,78978,5814
886,885,2853,317
750,749,2312,211
260,259,11597,1534
893,892,1708,215
964,963,2654,223
846,845,1421,189
100,99,190,54
650,649,976,128
948,947,3802,356
728,727,1043,165
564,563,818,98
535,534,26720,1916
255,254,1517,198
125,124,642,139
792,791,2167,200
455,454,11791,958
832,831,1431,183
628,627,1677,152
39,38,149,83
845,844,1398,180
28,27,264,181
655,654,2388,224
961,960,1346,183
146,145,208,53
350,349,1834,185
443,442,10926,903
765,764,6835,401
372,371,9803,893
671,670,3873,268
24,23,146,100
806,805,14001,905
716,715,3353,283
476,475,797,107
152,151,271,76
52,51,118,48
924,923,5302,408
932,931,1689,203
772,771,22580,1291
228,227,2363,340
617,616,2847,276
940,939,1261,157
678,677,5584,376
770,769,20358,1233
304,303,4439,483
572,571,2301,192
716,715,2170,181
48,47,127,54
973,972,4032,402
973,972,2827,296
565,564,1047,157
859,858,3366,304
149,148,1396,288
961,960,1354,169
18,17,62,44
134,133,331,66
758,757,1682,164
872,871,1246,163
592,591,900,129
377,376,8770,1105
280,279,516,96
606,605,1032,144
292,291,25507,3918
788,787,1988,167
970,969,1545,190
244,243,1352,169
380,379,4376,356
69,68,1945,673
915,914,71638,3899
69,68,657,249
578,577,5705,399
880,879,14128,760
63,62,126,62
102,101,274,82
66,65,138,55
515,514,8913,599
69,68,501,162
965,964,1585,197
791,790,1338,186
598,597,2725,245
115,114,196,48
930,929,1370,166
42,41,88,40
829,828,32089,1682
904,903,1602,199
570,569,2882,221
203,202,378,80
922,921,1573,193
843,842,2290,186
972,971,1653,183
103,102,218,55
732,731,10846,646
886,885,48712,2449
605,604,3293,239
932,931,2687,248
870,869,4565,369
762,761,2884,309
360,359,4696,393
412,411,2613,234
803,802,1398,192
46,45,172,84
592,591,8825,647
848,847,1599,204
802,801,1576,205
12,11,97,82
851,850,7035,531
475,474,6049,477
124,123,2441,559
642,641,117875,9821
319,318,1396,171
74,73,443,165
659,658,32735,1905
874,873,12510,747
782,781,4122,382
707,706,6695,472
585,584,1902,193
245,244,507,100
98,97,225,74
983,982,4743,423
543,542,2375,216
170,169,5283,1138
605,604,13558,986
109,108,315,89
549,548,1304,181
936,935,228731,15949
519,518,15697,1233
901,900,11783,843
662,661,76084,5114
592,591,4575,583
595,594,63717,4201
672,671,4134,420
646,645,114429,9007
737,736,42498,2731
540,539,15998,1290
855,854,2966,269
268,267,1011,139
326,325,720,131
620,619,3015,245
527,526,3765,312
381,380,856,132
693,692,6953,567
171,170,346,106
862,861,2577,233
440,439,42829,3721
339,338,9060,836
162,161,671,123
334,333,2720,305
788,787,1521,173
814,813,2681,263
405,404,1427,165
324,323,1509,177
509,508,1245,183
863,862,6677,588
870,869,17310,969
613,612,6155,439
724,723,1606,169
76,75,530,163
314,313,44693,5780
966,965,2154,275
595,594,5413,351
262,261,532,104
567,566,5852,398
618,617,5326,413
795,794,1834,217
142,141,6126,1354
950,949,70020,3770
528,527,1128,158
243,242,839,126
70,69,218,85
600,599,3524,306
810,809,119788,7519
767,766,8030,606
765,764,1284,166
779,778,3087,229
794,793,29782,1803
275,274,2152,261
705,704,25754,1548
68,67,2117,784
411,410,5655,460
338,337,1093,139
420,419,2169,199
587,586,985,125
529,528,925,134
101,100,1790,510
406,405,1135,167
174,173,1846,356
658,657,1141,153
726,725,5970,402
520,519,6570,508
597,596,2401,201
849,848,7213,554
787,786,85742,5623
536,535,1195,169
147,146,1496,321
430,429,12334,873
13,12,171,143
477,476,907,130
233,232,430,84
416,415,66212,6995
866,865,1990,258
981,980,1969,244
759,758,5328,450
667,666,1476,182
965,964,1708,210
757,756,1393,176
729,728,3752,315
283,282,888,152
692,691,1238,141
713,712,1320,172
481,480,925,137
756,755,5135,379
285,284,899,155
737,736,3192,260
