Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
685,325839,2517305,6219722,1.390870,1876900,3910068
933,824048,2603595,8986430,1.895330,3481956,9888576
614,70851,1696805,1178990,0.376485,1507984,850212
654,247485,2260749,6369398,1.159012,1710864,2969820
926,828334,2274338,8939439,1.934117,3429904,9940008
809,570818,2636031,6680166,1.746497,2617924,6849816
852,472325,3651093,11741400,1.302872,2903616,5667900
604,142425,1941406,2060506,0.782099,1459264,1709100
999,415683,5407164,5756773,0.833866,3992004,4988196
546,62421,1319747,1107923,0.419538,1192464,749052
492,3050,686903,142833,0.025251,968256,36600
64,444,6006,6810,0.220238,16384,5328
314,82431,429237,1800254,1.677438,394384,989172
621,151207,2049538,2183198,0.785450,1542564,1814484
176,13496,187531,246066,0.876364,123904,161952
13,56,415,827,0.717949,676,672
451,135433,1093150,1744924,1.334644,813604,1625196
799,67454,2510703,1354451,0.211587,2553604,809448
890,274133,3944534,7953620,0.692946,3168400,3289596
181,20689,181845,453874,1.270043,131044,248268
324,55897,610256,727868,1.068245,419904,670764
615,251659,1955180,3113791,1.332904,1512900,3019908
458,108830,1175149,1512373,1.039913,839056,1305960
680,261597,2720917,5027857,1.133141,1849600,3139164
366,121008,575162,2867118,1.811633,535824,1452096
872,47548,2630268,1220319,0.125207,3041536,570576
442,183655,846994,3121021,1.884395,781456,2203860
495,146947,1266625,3878536,1.201873,980100,1763364
419,104268,920701,2092902,1.190668,702244,1251216
231,41631,269330,540008,1.567137,213444,499572
22,396,931,3809,1.714286,1936,4752
19,69,732,1235,0.403509,1444,828
308,75376,454480,988805,1.594314,379456,904512
815,339598,3561207,5192613,1.023795,2656900,4075176
753,301447,3074199,5762086,1.064702,2268036,3617364
359,86531,680281,1194736,1.346555,515524,1038372
833,299761,3638036,8925327,0.865041,2775556,3597132
699,109277,2222041,1976969,0.447947,1954404,1311324
920,185788,4372217,3282960,0.439485,3385600,2229456
113,287,26252,6809,0.045354,51076,3444
292,77313,351709,1310181,1.819729,341056,927756
840,145959,3273098,3409881,0.414209,2822400,1751508
531,228543,1268460,3168247,1.624155,1127844,2742516
333,103287,409381,1479003,1.868501,443556,1239444
528,24133,1025171,475393,0.173459,1115136,289596
838,536756,3260796,8358139,1.530514,2808976,6441072
812,512292,2995913,7632986,1.555861,2637376,6147504
176,11999,175034,277115,0.779156,123904,143988
846,701378,1738413,9151979,1.962253,2862864,8416536
752,538617,1617648,11254458,1.907446,2262016,6463404
733,300961,2782829,12367448,1.121825,2149156,3611532
690,325,7073,421,0.001367,1904400,3900
186,3152,142143,96395,0.183203,138384,37824
50,66,974,440,0.053878,10000,792
595,188882,1947580,3761865,1.068851,1416100,2266584
214,41816,179751,852899,1.834759,183184,501792
864,189778,3534483,3098818,0.509039,2985984,2277336
43,1266,3268,13672,1.401993,7396,15192
160,6222,130944,147768,0.489151,102400,74664
190,28471,171640,594478,1.585686,144400,341652
888,319013,4173230,4985660,0.810031,3154176,3828156
913,585129,4834368,12840436,1.405452,3334276,7021548
425,2887,683742,165441,0.032042,722500,34644
445,49632,1234888,1631351,0.502399,792100,595584
989,913643,3582008,13027777,1.870050,3912484,10963716
709,42500,2332319,1648548,0.169332,2010724,510000
134,7381,112429,179564,0.828302,71824,88572
927,395721,5459124,12548342,0.921995,3437316,4748652
896,481792,4720973,6349660,1.201596,3211264,5781504
472,20012,889795,599981,0.180035,891136,240144
555,130664,1773133,3367000,0.849930,1232100,1567968
551,111945,1723730,2917845,0.738789,1214404,1343340
95,5622,47501,104715,1.259127,36100,67464
810,598083,2791631,8543479,1.825399,2624400,7176996
332,54061,637108,763245,0.983893,440896,648732
282,20637,416218,532604,0.520860,318096,247644
551,105488,1715835,1526225,0.696176,1214404,1265856
902,413057,4479870,5810911,1.016503,3254416,4956684
905,90607,3204031,1719561,0.221501,3276100,1087284
792,58031,2299412,1070044,0.185263,2509056,696372
385,43852,787494,659577,0.593236,592900,526224
469,71148,1147073,1143866,0.648297,879844,853776
271,3940,270409,128340,0.107694,293764,47280
953,660943,4984265,10089793,1.457015,3632836,7931316
