Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
1000,631723,5109989,7743230,1.264711,4000000,7580676
2000,2527142,20248832,32673083,1.264203,16000000,30325704
3000,5686387,45626404,62295231,1.264063,36000000,68236644
4000,10109238,84509445,112787419,1.263971,64000000,121310856
5000,15797652,139414032,178245508,1.264065,100000000,189571824
6000,22750157,188440699,245896818,1.264108,144000000,273001884
7000,30968885,263083109,348030965,1.264217,196000000,371626620
8000,40444385,340826170,447991684,1.264045,256000000,485332620
9000,51188053,426473377,585949432,1.264043,324000000,614256636
